Artist,Album,Track,Plays,Percentage
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),Fluorescent Adolescent,724820311,23.16
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),Only Ones Who Know,107250476,3.43
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),Do Me a Favour,140631628,4.49
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),This House Is a Circus,52076411,1.66
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),"If You Were There, Beware",51823792,1.66
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),The Bad Thing,50682756,1.62
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),Old Yellow Bricks,156261638,4.99
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),505,1297399388,41.45
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",The View From The Afternoon,87508415,4.54
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",I Bet You Look Good On The Dancefloor,387875118,20.12
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Fake Tales Of San Francisco,99051197,5.14
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Dancing Shoes,95418729,4.95
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",You Probably Couldn't See For The Lights But You Were Staring Straight At Me,44917102,2.33
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Still Take You Home,51765272,2.68
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Riot Van,70992683,3.68
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Red Light Indicates Doors Are Secured,47946998,2.49
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Mardy Bum,341474335,17.71
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Perhaps Vampires Is A Bit Strong But�,48952718,2.54
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",When The Sun Goes Down,389131864,20.18
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",From The Ritz To The Rubble,141136742,7.32
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",A Certain Romance,121993334,6.33
Ashe,Rae,Rae's Theme,481628,0.82
Ashe,Rae,Another Man's Jeans,20542929,34.96
Ashe,Rae,Hope You're Not Happy,7182030,12.22
Ashe,Rae,Shower With My Clothes On,4157625,7.08
Ashe,Rae,omw,2578201,4.39
Ashe,Rae,Angry Woman,7668538,13.05
Ashe,Rae,Emotional,2569832,4.37
Ashe,Rae,Love You Need,1766401,3.01
Ashe,Rae,It Can't Be You,718380,1.22
Ashe,Rae,Loose Ends,631561,1.07
Ashe,Rae,San Jose,637157,1.08
Ashe,Rae,Love Is Letting Go (feat. Diane Keaton),8112822,13.81
Ashe,Rae,Count On Me,640105,1.09
Ashe,Rae,Fun While It Lasted,1073008,1.83
Ashe,Ashlyn,Till Forever Falls Apart,238540474,25.21
Ashe,Ashlyn,I'm Fine,17461375,1.85
Ashe,Ashlyn,Love Is Not Enough,3443095,0.36
Ashe,Ashlyn,When I'm Older,5400021,0.57
Ashe,Ashlyn,Me Without You,7724357,0.82
Ashe,Ashlyn,Save Myself,37589400,3.97
Ashe,Ashlyn,Taylor,3778298,0.4
Ashe,Ashlyn,Not Mad Anymore,4501557,0.48
Ashe,Ashlyn,Always,3538626,0.37
Ashe,Ashlyn,Moral of the Story,617101230,65.21
Ashe,Ashlyn,Serial Monogamist,2575703,0.27
Ashe,Ashlyn,Ryne's Song,2529859,0.27
Ashe,Ashlyn,Kansas,2191606,0.23
The Backseat Lovers,Waiting to Spill,Silhouette,2063279,3.75
The Backseat Lovers,Waiting to Spill,Close Your Eyes,7784511,14.14
The Backseat Lovers,Waiting to Spill,Morning in the Aves,4395471,7.98
The Backseat Lovers,Waiting to Spill,Growing/Dying,12108788,21.99
The Backseat Lovers,Waiting to Spill,Words I Used,3766586,6.84
The Backseat Lovers,Waiting to Spill,Snowbank Blues,12487742,22.68
The Backseat Lovers,Waiting to Spill,Follow the Sound,1874076,3.4
The Backseat Lovers,Waiting to Spill,Slowing Down,6085280,11.05
The Backseat Lovers,Waiting to Spill,Know Your Name,1855036,3.37
The Backseat Lovers,Waiting to Spill,Viciously Lonely,2645549,4.8
The Backseat Lovers,When We Were Friends,Watch Your Mouth,28700075,5.71
The Backseat Lovers,When We Were Friends,Pool House,74991709,14.93
The Backseat Lovers,When We Were Friends,Intuition,5619735,1.12
The Backseat Lovers,When We Were Friends,Kilby Girl,262456417,52.24
The Backseat Lovers,When We Were Friends,Dugout,9568179,1.9
The Backseat Lovers,When We Were Friends,Davy Crochet,14855582,2.96
The Backseat Lovers,When We Were Friends,Maple Syrup,80160286,15.96
The Backseat Lovers,When We Were Friends,Olivia,11612248,2.31
The Backseat Lovers,When We Were Friends,Sinking Ship,14405952,2.87
The Backseat Lovers,Elevator Days,Out of Tune,15835447,36.3
The Backseat Lovers,Elevator Days,Pictures,6625106,15.19
The Backseat Lovers,Elevator Days,Still a Friend,11702749,26.83
The Backseat Lovers,Elevator Days,Elevator Days,5503836,12.62
The Backseat Lovers,Elevator Days,Address Your Letters,3958605,9.07
Beach Bunny,Emotional Creature,Entropy,3960461,12.42
Beach Bunny,Emotional Creature,Oxygen,12025463,37.72
Beach Bunny,Emotional Creature,Deadweight,1351878,4.24
Beach Bunny,Emotional Creature,Gone,1072201,3.36
Beach Bunny,Emotional Creature,Eventually,1033813,3.24
Beach Bunny,Emotional Creature,Fire Escape,3691686,11.58
Beach Bunny,Emotional Creature,Weeds,3662989,11.49
Beach Bunny,Emotional Creature,Gravity,641670,2.01
Beach Bunny,Emotional Creature,Scream,785531,2.46
Beach Bunny,Emotional Creature,Infinity Room,733744,2.3
Beach Bunny,Emotional Creature,Karaoke,2056336,6.45
Beach Bunny,Emotional Creature,Love Song,866769,2.72
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",Stalker,197416,1.9
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",Bruise,4559385,43.84
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",Haircut,532144,5.12
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",Lotto,160838,1.55
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",Sorry,88854,0.85
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",What's up,989844,9.52
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",Gross interlude,94130,0.91
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",Redlight (feat. Teezo Touchdown),1548466,14.89
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",Smiley,973044,9.36
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",Self destruct,724000,6.96
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",Running on empty,81313,0.78
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",Sloppy stella,147274,1.42
BETWEEN FRIENDS,"I Love My Girl, She's My Boy",Bb (feat. EDEN),172500,1.66
BETWEEN FRIENDS,"I Love My Girl, She's My Boy","I love my girl, she's my boy",130777,1.26
BETWEEN FRIENDS,CUTiE,hiiii,416772,2.4
BETWEEN FRIENDS,CUTiE,navigate,405573,2.33
BETWEEN FRIENDS,CUTiE,orange juice,6245091,35.89
BETWEEN FRIENDS,CUTiE,laurel,1678713,9.65
BETWEEN FRIENDS,CUTiE,make more friends,229708,1.32
BETWEEN FRIENDS,CUTiE,try,1808584,10.39
BETWEEN FRIENDS,CUTiE,more,5904617,33.94
BETWEEN FRIENDS,CUTiE,baby girl,328286,1.89
BETWEEN FRIENDS,CUTiE,tall,382268,2.2
Billie Eilish,Happier Than Ever,Getting Older,183076478,3.98
Billie Eilish,Happier Than Ever,I Didn't Change My Number,169437065,3.68
Billie Eilish,Happier Than Ever,Billie Bossa Nova,214811960,4.67
Billie Eilish,Happier Than Ever,my future,413262227,8.98
Billie Eilish,Happier Than Ever,Oxytocin,161113097,3.5
Billie Eilish,Happier Than Ever,GOLDWING,97930402,2.13
Billie Eilish,Happier Than Ever,Lost Cause,270030592,5.87
Billie Eilish,Happier Than Ever,Halley's Comet,189248913,4.11
Billie Eilish,Happier Than Ever,Not My Responsibility,80939608,1.76
Billie Eilish,Happier Than Ever,OverHeated,82973788,1.8
Billie Eilish,Happier Than Ever,Everybody Dies,87578209,1.9
Billie Eilish,Happier Than Ever,Your Power,377669223,8.21
Billie Eilish,Happier Than Ever,NDA,279573814,6.07
Billie Eilish,Happier Than Ever,Therefore I Am,731896510,15.9
Billie Eilish,Happier Than Ever,Happier Than Ever,1114651373,24.22
Billie Eilish,Happier Than Ever,Male Fantasy,148456978,3.23
Breakup Shoes,The Death Of Everything Worrisome,Shouldn't I?,17290,3.15
Breakup Shoes,The Death Of Everything Worrisome,Since I Met You,13833,2.52
Breakup Shoes,The Death Of Everything Worrisome,Get Lost,280014,51.03
Breakup Shoes,The Death Of Everything Worrisome,Rat Race,68677,12.52
Breakup Shoes,The Death Of Everything Worrisome,Sorry,11115,2.03
Breakup Shoes,The Death Of Everything Worrisome,Monotony,118008,21.51
Breakup Shoes,The Death Of Everything Worrisome,Get a Grip!,11341,2.07
Breakup Shoes,The Death Of Everything Worrisome,At Least I've Still Got Some Friends,28461,5.19
Breakup Shoes,"So Money, Baby",idk,3148379,53.84
Breakup Shoes,"So Money, Baby",Trash,196397,3.36
Breakup Shoes,"So Money, Baby",Playing With Fire,637651,10.9
Breakup Shoes,"So Money, Baby",What We Could Be,244349,4.18
Breakup Shoes,"So Money, Baby",Accessory,1065353,18.22
Breakup Shoes,"So Money, Baby",I Am Terrified Of Heights,356380,6.09
Breakup Shoes,"So Money, Baby",Petty,198934,3.4
Breakup Shoes,Unrequited Love (& other clichés),Brian Wilson Is My Dad,6205493,17.34
Breakup Shoes,Unrequited Love (& other clichés),Sometimes We Make Decisions,382524,1.07
Breakup Shoes,Unrequited Love (& other clichés),Breakup Shoes,2379314,6.65
Breakup Shoes,Unrequited Love (& other clichés),Phony,203269,0.57
Breakup Shoes,Unrequited Love (& other clichés),innertube [interlude],172045,0.48
Breakup Shoes,Unrequited Love (& other clichés),Unrequited Love (& other clich's),25081140,70.07
Breakup Shoes,Unrequited Love (& other clichés),shower-beer,537890,1.5
Breakup Shoes,Unrequited Love (& other clichés),Natural,310350,0.87
Breakup Shoes,Unrequited Love (& other clichés),Platonic Cuddling,520732,1.45
Breakup Shoes,Narratives,Narratives,1189710,20.08
Breakup Shoes,Narratives,How It Goes,4311098,72.75
Breakup Shoes,Narratives,Matter of Time,199131,3.36
Breakup Shoes,Narratives,Numb,112483,1.9
Breakup Shoes,Narratives,Self-Improvement,113108,1.91
Briston Maroney,Sunflower,Sinkin',3882204,12.66
Briston Maroney,Sunflower,Bottle Rocket,3515860,11.47
Briston Maroney,Sunflower,It's Still Cool If You Don't,12184052,39.73
Briston Maroney,Sunflower,Freeway,3544049,11.56
Briston Maroney,Sunflower,Deep Sea Diver,2309649,7.53
Briston Maroney,Sunflower,Why,2126001,6.93
Briston Maroney,Sunflower,Rollercoaster,972839,3.17
Briston Maroney,Sunflower,Cinnamon,1036681,3.38
Briston Maroney,Sunflower,The Kids,612608,2.0
Briston Maroney,Sunflower,Say My Name,480444,1.57
Cage The Elephant,Social Cues,Broken Boy,34066571,7.21
Cage The Elephant,Social Cues,Social Cues,103523419,21.92
Cage The Elephant,Social Cues,Black Madonna,67158414,14.22
Cage The Elephant,Social Cues,Night Running,44385813,9.4
Cage The Elephant,Social Cues,Skin and Bones,41695826,8.83
Cage The Elephant,Social Cues,Ready To Let Go,88408615,18.72
Cage The Elephant,Social Cues,House Of Glass,18953469,4.01
Cage The Elephant,Social Cues,Love's The Only Way,9567754,2.03
Cage The Elephant,Social Cues,The War Is Over,8782995,1.86
Cage The Elephant,Social Cues,Dance Dance,12844502,2.72
Cage The Elephant,Social Cues,What I'm Becoming,8397206,1.78
Cage The Elephant,Social Cues,Tokyo Smoke,15820196,3.35
Cage The Elephant,Social Cues,Goodbye,18586600,3.94
Clairo,Sling,Bambi,16003353,7.11
Clairo,Sling,Amoeba,111128096,49.35
Clairo,Sling,Partridge,9694660,4.3
Clairo,Sling,Zinnias,8223374,3.65
Clairo,Sling,Blouse,27814962,12.35
Clairo,Sling,Wade,6743936,2.99
Clairo,Sling,Harbor,12931102,5.74
Clairo,Sling,Just For Today,7942975,3.53
Clairo,Sling,Joanie,5191454,2.31
Clairo,Sling,Reaper,8006377,3.56
Clairo,Sling,Little Changes,5495942,2.44
Clairo,Sling,Management,6028681,2.68
Clairo,Immunity,Alewife,43802660,3.79
Clairo,Immunity,Impossible,19469338,1.69
Clairo,Immunity,Closer To You,25518967,2.21
Clairo,Immunity,North,26793509,2.32
Clairo,Immunity,Bags,222095960,19.22
Clairo,Immunity,Softly,120824523,10.46
Clairo,Immunity,Sofia,609358625,52.74
Clairo,Immunity,White Flag,20519131,1.78
Clairo,Immunity,Feel Something,30711830,2.66
Clairo,Immunity,Sinking,17140089,1.48
Clairo,Immunity,I Wouldn't Ask You,19101562,1.65
COIN,Uncanny Valley,Learning,984035,1.12
COIN,Uncanny Valley,Chapstick,24091255,27.5
COIN,Uncanny Valley,Cutie,21248687,24.26
COIN,Uncanny Valley,Take A Picture,2547742,2.91
COIN,Uncanny Valley,Brad Pitt,8704263,9.94
COIN,Uncanny Valley,Killing Me,10186585,11.63
COIN,Uncanny Valley,I Think I Met You In A Dream,8578441,9.79
COIN,Uncanny Valley,Blackbox,1019941,1.16
COIN,Uncanny Valley,It Works,1275648,1.46
COIN,Uncanny Valley,Take The Stairs,4581837,5.23
COIN,Uncanny Valley,Getting Older,1267236,1.45
COIN,Uncanny Valley,Watering A Dead Flower,1029398,1.18
COIN,Uncanny Valley,Plug Me In,685403,0.78
COIN,Uncanny Valley,Loving,1401879,1.6
COIN,Rainbow Mixtape,Hypnotica,1757229,3.14
COIN,Rainbow Mixtape,How It Feels,4634183,8.27
COIN,Rainbow Mixtape,Dream House,5155410,9.2
COIN,Rainbow Mixtape,Different Moons,809267,1.44
COIN,Rainbow Mixtape,Sprite,7888263,14.08
COIN,Rainbow Mixtape,Sagittarius Superstar (feat. Faye Webster),19918668,35.55
COIN,Rainbow Mixtape,Turnaround,1253609,2.24
COIN,Rainbow Mixtape,Earth to God,869850,1.55
COIN,Rainbow Mixtape,Sort It Out,3518160,6.28
COIN,Rainbow Mixtape,You Are the Traffic,6678239,11.92
COIN,Rainbow Mixtape,Make It Stop,1534831,2.74
COIN,Rainbow Mixtape,I Feel Alive?,2004530,3.58
COIN,Dreamland,Into My Arms,8421089,2.8
COIN,Dreamland,I Want It All,28774903,9.57
COIN,Dreamland,Simple Romance,10989403,3.65
COIN,Dreamland,Crash My Car,114950906,38.22
COIN,Dreamland,Dreamland Sequence,1319878,0.44
COIN,Dreamland,Cemetery,44876775,14.92
COIN,Dreamland,Youuu,36255259,12.05
COIN,Dreamland,Valentine,16339018,5.43
COIN,Dreamland,Nobody's Baby,2053975,0.68
COIN,Dreamland,Never Change,2259117,0.75
COIN,Dreamland,Lately III,1643114,0.55
COIN,Dreamland,Babe Ruth,2416757,0.8
COIN,Dreamland,Heaven Hearted,928170,0.31
COIN,Dreamland,Let It All Out (10:05),29553461,9.83
COIN,How Will You Know If You Never Try,"Don't Cry, 2020",7226765,1.55
COIN,How Will You Know If You Never Try,Boyfriend,31261095,6.71
COIN,How Will You Know If You Never Try,Talk Too Much,275658845,59.16
COIN,How Will You Know If You Never Try,I Don't Wanna Dance,28832778,6.19
COIN,How Will You Know If You Never Try,Hannah,9370753,2.01
COIN,How Will You Know If You Never Try,Are We Alone?,6765928,1.45
COIN,How Will You Know If You Never Try,Heart Eyes,6949095,1.49
COIN,How Will You Know If You Never Try,Lately II,2476184,0.53
COIN,How Will You Know If You Never Try,Feeling,9307503,2.0
COIN,How Will You Know If You Never Try,Miranda Beach,5383325,1.16
COIN,How Will You Know If You Never Try,Malibu 1992,82742864,17.76
COIN,COIN,Atlas,11613379,15.52
COIN,COIN,Fingers Crossed,7611940,10.17
COIN,COIN,Time Machine,5628222,7.52
COIN,COIN,I Would,3902904,5.21
COIN,COIN,Run,33996751,45.42
COIN,COIN,Holy Ghost,4440333,5.93
COIN,COIN,Better,1940721,2.59
COIN,COIN,Speaking Voice,2232186,2.98
COIN,COIN,It's a Trap,1974098,2.64
COIN,COIN,Lately,1509948,2.02
COIN,Indigo Violet,Sort It Out,3518160,25.61
COIN,Indigo Violet,You Are the Traffic,6678239,48.62
COIN,Indigo Violet,Make It Stop,1534831,11.17
COIN,Indigo Violet,I Feel Alive?,2004530,14.59
Conan Gray,Superache,Movies,41977508,3.18
Conan Gray,Superache,People Watching,294888291,22.37
Conan Gray,Superache,Disaster,55105238,4.18
Conan Gray,Superache,Best Friend,21163856,1.61
Conan Gray,Superache,Astronomy,222210336,16.85
Conan Gray,Superache,Yours,71622140,5.43
Conan Gray,Superache,Jigsaw,52914576,4.01
Conan Gray,Superache,Family Line,140347558,10.65
Conan Gray,Superache,Summer Child,19687220,1.49
Conan Gray,Superache,Footnote,20362787,1.54
Conan Gray,Superache,Memories,323813748,24.56
Conan Gray,Superache,The Exit,54336290,4.12
Conan Gray,Kid Krow,Comfort Crowd,124491766,4.27
Conan Gray,Kid Krow,Wish You Were Sober,212093152,7.27
Conan Gray,Kid Krow,Maniac,742686079,25.47
Conan Gray,Kid Krow,(Online Love),28608763,0.98
Conan Gray,Kid Krow,Checkmate,85657769,2.94
Conan Gray,Kid Krow,The Cut That Always Bleeds,74760952,2.56
Conan Gray,Kid Krow,Fight or Flight,57951039,1.99
Conan Gray,Kid Krow,Affluenza,37676099,1.29
Conan Gray,Kid Krow,(Can We Be Friends?),16075974,0.55
Conan Gray,Kid Krow,Heather,1358099996,46.57
Conan Gray,Kid Krow,Little League,42320921,1.45
Conan Gray,Kid Krow,The Story,135862279,4.66
Dayglow,People In Motion,Second Nature,2774936,8.34
Dayglow,People In Motion,Radio,4053421,12.18
Dayglow,People In Motion,Then It All Goes Away,17307741,52.01
Dayglow,People In Motion,Deep End,4478361,13.46
Dayglow,People In Motion,Stops Making Sense,752724,2.26
Dayglow,People In Motion,How Do You Know?,572574,1.72
Dayglow,People In Motion,Someone Else,576246,1.73
Dayglow,People In Motion,Like She Does,1149631,3.45
Dayglow,People In Motion,Turn Around,533848,1.6
Dayglow,People In Motion,Talking To Light,1077190,3.24
Dayglow,Life In Motion,Deep End - Wake Me Up,306450,25.48
Dayglow,Life In Motion,Radio - On The Go,95013,7.9
Dayglow,Life In Motion,Second Nature - Focus,80396,6.68
Dayglow,Life In Motion,Then It All Goes Away - Dancing,632717,52.6
Dayglow,Life In Motion,Talking To Light - Sleep,88354,7.34
Del Water Gap,Del Water Gap,Better Than I Know Myself,12948836,10.69
Del Water Gap,Del Water Gap,Sorry I Am,6165420,5.09
Del Water Gap,Del Water Gap,Perfume,10518499,8.69
Del Water Gap,Del Water Gap,Hurting Kind,2790172,2.3
Del Water Gap,Del Water Gap,Alone Together,6586230,5.44
Del Water Gap,Del Water Gap,Ode to a Conversation Stuck in Your Throat,76387926,63.08
Del Water Gap,Del Water Gap,Distance,765958,0.63
Del Water Gap,Del Water Gap,It's Not Fair !,1005375,0.83
Del Water Gap,Del Water Gap,I Hope You Understand,1964706,1.62
Del Water Gap,Del Water Gap,Bug Bites,804834,0.66
Del Water Gap,Del Water Gap,Uh-huh,643045,0.53
Del Water Gap,Del Water Gap,Shortest Love Song,518597,0.43
Doja Cat,Planet Her,Woman,1384450013,20.81
Doja Cat,Planet Her,Naked,122403516,1.84
Doja Cat,Planet Her,Payday (feat. Young Thug),86099612,1.29
Doja Cat,Planet Her,Get Into It (Yuh),535619699,8.05
Doja Cat,Planet Her,Need to Know,1072782995,16.13
Doja Cat,Planet Her,I Don't Do Drugs (feat. Ariana Grande),176619890,2.65
Doja Cat,Planet Her,Love To Dream,82328292,1.24
Doja Cat,Planet Her,You Right,708499909,10.65
Doja Cat,Planet Her,Been Like This,127193235,1.91
Doja Cat,Planet Her,Options (feat. JID),93231173,1.4
Doja Cat,Planet Her,Ain't Shit,521048261,7.83
Doja Cat,Planet Her,Imagine,55437627,0.83
Doja Cat,Planet Her,Alone,62447011,0.94
Doja Cat,Planet Her,Kiss Me More (feat. SZA),1624756405,24.42
Doja Cat,Hot Pink,Cyber Sex,227639660,6.04
Doja Cat,Hot Pink,Won't Bite,104660874,2.78
Doja Cat,Hot Pink,Rules,361764856,9.6
Doja Cat,Hot Pink,Bottom Bitch,76580293,2.03
Doja Cat,Hot Pink,Say So,1122868034,29.81
Doja Cat,Hot Pink,Like That,461468996,12.25
Doja Cat,Hot Pink,Talk Dirty,43890170,1.17
Doja Cat,Hot Pink,Addiction,57592795,1.53
Doja Cat,Hot Pink,Streets,900964282,23.92
Doja Cat,Hot Pink,Shine,33765346,0.9
Doja Cat,Hot Pink,Better Than Me,40358808,1.07
Doja Cat,Hot Pink,Juicy,335651541,8.91
Doja Cat,Amala,Go To Town,133515571,17.46
Doja Cat,Amala,Cookie Jar,26487858,3.46
Doja Cat,Amala,Roll With Us,30971631,4.05
Doja Cat,Amala,Wine Pon You (feat. Konshens),130739207,17.09
Doja Cat,Amala,Fancy,21166787,2.77
Doja Cat,Amala,Wild Beach,15848897,2.07
Doja Cat,Amala,Morning Light,9347865,1.22
Doja Cat,Amala,Candy,313542946,40.99
Doja Cat,Amala,Game,16141723,2.11
Doja Cat,Amala,Casual,27748937,3.63
Doja Cat,Amala,Down Low,8756277,1.14
Doja Cat,Amala,Body Language,21142987,2.76
Doja Cat,Amala,All Nighter,9471213,1.24
DREAMERS,Wallow in It,Wallow in It,725415,7.91
DREAMERS,Wallow in It,Don't Go Dark,873920,9.53
DREAMERS,Wallow in It,Black Confetti,1625527,17.74
DREAMERS,Wallow in It,Robbery,3784202,41.29
DREAMERS,Wallow in It,Body Language,1501893,16.39
DREAMERS,Wallow in It,Internet Junkie,424400,4.63
DREAMERS,Wallow in It,Betting on a Good Time,230192,2.51
DREAMERS,All Hallows' DREAM,Robbery,3784202,2.8
DREAMERS,All Hallows' DREAM,Misfits T-Shirt,21445969,15.87
DREAMERS,All Hallows' DREAM,Painkiller,36158098,26.76
DREAMERS,All Hallows' DREAM,Die Happy,36833334,27.26
DREAMERS,All Hallows' DREAM,Still Not Dead,8726611,6.46
DREAMERS,All Hallows' DREAM,Black Confetti,1625527,1.2
DREAMERS,All Hallows' DREAM,Brainless,1353872,1.0
DREAMERS,All Hallows' DREAM,True Crime,5363011,3.97
DREAMERS,All Hallows' DREAM,Vampire in the Sun,549239,0.41
DREAMERS,All Hallows' DREAM,DEMONS,1255709,0.93
DREAMERS,All Hallows' DREAM,Zombie,4708979,3.49
DREAMERS,All Hallows' DREAM,Wolves (You Got Me),13311921,9.85
DREAMERS,LAUNCH FLY LAND,Die Happy,36833334,74.2
DREAMERS,LAUNCH FLY LAND,DIZZY,2346636,4.73
DREAMERS,LAUNCH FLY LAND,Celebrate,682465,1.37
DREAMERS,LAUNCH FLY LAND,"Someway, Somehow",4102513,8.26
DREAMERS,LAUNCH FLY LAND,Listen Out Loud,1652067,3.33
DREAMERS,LAUNCH FLY LAND,Insomniac,1997747,4.02
DREAMERS,LAUNCH FLY LAND,Vampire in the Sun,549239,1.11
DREAMERS,LAUNCH FLY LAND,It's Something to Be Alive,622877,1.25
DREAMERS,LAUNCH FLY LAND,Wanna Stay,407063,0.82
DREAMERS,LAUNCH FLY LAND,Take Me Home,447825,0.9
Faze Wave,Lethologica,Foreign Films,139510,24.04
Faze Wave,Lethologica,Waistline,92979,16.02
Faze Wave,Lethologica,You Need Space,125325,21.59
Faze Wave,Lethologica,Bad / Now,67062,11.56
Faze Wave,Lethologica,No Sex Vacation,31028,5.35
Faze Wave,Lethologica,Down Time,44439,7.66
Faze Wave,Lethologica,4 in the Morning,47474,8.18
Faze Wave,Lethologica,Stars,32533,5.61
Faze Wave,Melt,Blur,22836,5.93
Faze Wave,Melt,Makeout,46227,12.01
Faze Wave,Melt,Over Thinker,73774,19.17
Faze Wave,Melt,Mood,23036,5.99
Faze Wave,Melt,A.T.E.O.T.D.,30692,7.98
Faze Wave,Melt,Fuck Your Friends,31622,8.22
Faze Wave,Melt,Far Behind,34770,9.04
Faze Wave,Melt,Spacing Out,46037,11.96
Faze Wave,Melt,Super 8,22200,5.77
Faze Wave,Melt,Dance,34457,8.95
Faze Wave,Melt,Melt,19161,4.98
Faze Wave,Wisdom Teeth,Holding On,457060,73.84
